symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-04-10 00:00:00+00:00,143.17,143.8792,142.9,143.6,18933397,33.8317880635,33.9993755755,33.7679857112,33.9333992171,75733588,0.0,1.0
AAPL,2017-04-11 00:00:00+00:00,141.63,143.35,140.06,142.94,30379376,33.4678783504,33.874322965,33.0968794871,33.7774379115,121517504,0.0,1.0
AAPL,2017-04-12 00:00:00+00:00,141.8,142.15,141.01,141.6,20350000,33.5080502018,33.5907569548,33.3213692451,33.4607892001,81400000,0.0,1.0
AAPL,2017-04-13 00:00:00+00:00,141.05,142.38,141.05,141.91,17822880,33.3308214455,33.6451071068,33.3308214455,33.5340437528,71291520,0.0,1.0
AAPL,2017-04-17 00:00:00+00:00,141.83,141.88,140.87,141.48,16582094,33.5151393521,33.5269546025,33.288286544,33.4324325991,66328376,0.0,1.0
AAPL,2017-04-18 00:00:00+00:00,141.2,142.04,141.11,141.41,14697544,33.3662671968,33.5647634039,33.344999746,33.4158912485,58790176,0.0,1.0
AAPL,2017-04-19 00:00:00+00:00,140.68,142.0,140.45,141.88,17328375,33.2433885924,33.5553112035,33.1890384404,33.5269546025,69313500,0.0,1.0
AAPL,2017-04-20 00:00:00+00:00,142.44,142.92,141.16,141.22,23319562,33.6592854073,33.7727118113,33.3568149964,33.3709932969,93278248,0.0,1.0
AAPL,2017-04-21 00:00:00+00:00,142.27,142.68,141.85,142.44,17320928,33.6191135558,33.7159986093,33.5198654523,33.6592854073,69283712,0.0,1.0
AAPL,2017-04-24 00:00:00+00:00,143.64,143.95,143.18,143.5,17116599,33.9428514174,34.0161059701,33.8341511135,33.9097687163,68466396,0.0,1.0
AAPL,2017-04-25 00:00:00+00:00,144.53,144.9,143.87,143.91,18216472,34.153162875,34.2405957281,33.9972015694,34.0066537697,72865888,0.0,1.0
AAPL,2017-04-26 00:00:00+00:00,143.68,144.6,143.3762,144.47,19614287,33.9523036178,34.1697042256,33.8805141562,34.1389845745,78457148,0.0,1.0
AAPL,2017-04-27 00:00:00+00:00,143.79,144.16,143.31,143.9225,13948980,33.9782971687,34.0657300218,33.8648707646,34.0096075823,55795920,0.0,1.0
